Airline Code,Airline
AA,AMERICAN AIRLINES INC.
CO,"CONTINENTAL AIRLINES, INC."
DL,"DELTA AIR LINES, INC."
NW,"NORTHWEST AIRLINES, INC."
AC,AIR CANADA
UA,"UNITED AIRLINES, INC."
LH,LUFTHANSA CARGO AG.
FX,FEDEX
KA,HONG KONG DRAGON AIRLINES LIMITED.
AZ,ALITALIA-COMPAGNIA AEREA ITALIANA S.P.
AF,AIR FRANCE
SB,AIR CALEDONIE INTERNATIONAL
KL,KLM ROYAL DUTCH AIRLINES
MS,EGYPTAIR
PR,"PHILIPPINE AIRLINES, INC."
QF,QANTAS AIRWAYS LTD.
NZ,AIR NEW ZEALAND LTD.
IR,IRAN-AIR
AI,AIR INDIA LTD.
AY,FINNAIR O/Y
SK,SCANDINAVIAN AIRLINES SYSTEM(SAS)
BA,BRITISH AIRWAYS P.L.C.
GA,GARUDA INDONESIA
JL,JAPAN AIRLINES CO. LTD
AM,AEROMEXICO
CX,CATHAY PACIFIC AIRWAYS LTD.
CV,CARGOLUX AIRLINES INT’L S.A.
EK,EMIRATES SKY CARGO
KE,"KOREAN AIR LINES CO.,LTD."
NH,"ALL NIPPON AIRWAYS CO., LTD."
PK,PAKISTAN INT’L AIRLINES
TG,"THAI AIRWAYS INT’L PUBLIC CO.,LTD."
MH,MALAYSIA AIRLINES SYSTEM BERHAD
TK,TURKISH AIRLINES INC.
TN,AIR TAHITI NUI
HY,UZBEKISTAN AIRWAYS
OS,AUSTRIAN AIRLINES AG
FJ,AIR PACIFIC
RA,ROYAL NEPAL AIRLINES CORP.
LD,AHK AIR HONG KONG LTD.
OM,MIAT-MONGOLIAN AIRLINES
CI,CHINA AIRLINES LTD
PO,POLAR AIR CARGO INC.
5X,UNITED PARCEL
SU,AEROFLOT RUSSIAN AIRLINES
H8,DALAVIA FAR EAST AIRWAYS
UL,SRILANKAN AIRLINES LTD.
SQ,SINGAPORE AIRLINES LTD.
PX,AIR NIUGINI PTY LTD.
EG,"JAPAN ASIA AIRWAYS CO., LTD."
BR,EVA AIRWAYS CORP.
LX,SWISS INT’L AIR LINES LTD.
VN,VIETNAM AIRLINES
EL,"AIR NIPPON CO., LTD."
FM,"SHANGHAI AIRLINES CO., LTD."
MU,CHINA EASTERN AIRLINES
CZ,CHINA SOUTHERN AIRLINES
VS,VIRGIN ATLANTIC
KZ,NIPPON CARGO AIRLINES
OZ,ASIANA AIRLINES INC.
CA,AIR CHINA LTD.
6X,UNKNOWN
